ACCESSNO,CATBY,CATDATE,CREDIT,DESCRIP,EARLYDATE,GPARENT,LATEDATE,OBJECTID,Object Name,PARENT,RECAS,RECDATE,RECFROM,TITLE,Image Link
2023.11,Kirsten Hammerstrom,07/11/2023,"Gift of Carolyn R. Thomas, BSN 1956","Student nurse in short-sleeved striped uniform, white apron, and cap seated at a counter updates charts held on clipboards. 26 clipboards hang in three rows on the wall in front of her. At the back of the room, a casement window provides a view of downtown Baltimore and a painted wall sign for ""Regal Shop,"" which was located in the 600 block of West Baltimore Street. 8""x 10"" paper wioth narrow border. Identified on verso with 1956 yearbook placement.",1955,8: Communication Artifact,1956,2023.11.1,"Print, Photographic",Documentary Artifact,Gift,8/25/2016,"Thomas, Carolyn R.",Student nurse updating charts at University Hospital,https://umsonmuseum.omeka.net/items/show/729
2023.11,Kirsten Hammerstrom,07/11/2023,"Gift of Carolyn R. Thomas, BSN 1956","Seven young women, including fice students, a nurse and an instructor, lean over a ""patient"" restrained in a hospital bed by a wrapped sheet. The ""patient"" is portrayed by a student volunteer. The other students are dressed in white clinical coats over street clothes. On the right, a student has a folded copy of ""The Diamondback"" UM student newspaper in her coat pocket. 8' x 10' black and white photographic print with narrow border, identified on verso with placement in 1956 yearbook.",1955,8: Communication Artifact,1956,2023.11.2,"Print, Photographic",Documentary Artifact,Gift,8/25/2016,"Thomas, Carolyn R.",Student nurses learning restraining methods for psychiatric patients,https://umsonmuseum.omeka.net/items/show/730
2023.11,Kirsten Hammerstrom,07/11/2023,"Gift of Carolyn R. Thomas, BSN 1956","Four nursing students in overcoats with ""UM"" patches and carrying folders of patient records and square leather bags are shown walking downstairs and onto the sidewalk outside the University Hospital outpatient clinic. At the left, four Black women stand on the stairs, the woman at the read carrying an infant. 8"" x 10"" black and white photographic print with narrow border, indentified on verso with 1956 yearbook placement.",1955,8: Communication Artifact,1956,2023.11.3,"Print, Photographic",Documentary Artifact,Gift,8/25/2016,"Thomas, Carolyn R.",Student nurses leaving outpatient clinic for public health rounds,https://umsonmuseum.omeka.net/items/show/731
2023.11,Kirsten Hammerstrom,07/11/2023,"Gift of Carolyn R. Thomas, BSN 1956","Two senior student nurses seated at a table discuss patients and assignments while two junior students and two Black nurses or assistants look on. 8"" x 10"" black and white photographic print with narrow border. Indentified by donor ""Senior nurses in charge with students-- getting assignments. There were RNs- not that many, 10th floor, VIP floor- students didn't work there.""",1955,8: Communication Artifact,1956,2023.11.4,"Print, Photographic",Documentary Artifact,Gift,8/25/2016,"Thomas, Carolyn R.",Senior nursing students handing out assignments,https://umsonmuseum.omeka.net/items/show/732
2023.11,Kirsten Hammerstrom,07/11/2023,"Gift of Carolyn R. Thomas, BSN 1956","A young boy in short-sleeved shirt and bow tie receives an immunization from a nurse, filmed by WBAL-TV, as part of a weekly television show broadcast from University Hospital. A woman at right in a printed cotton dress and floral fascinator may be the boy's mother. 5"" x 7"" black and white photographic print.",0,8: Communication Artifact,0,2023.11.5,"Print, Photographic",Documentary Artifact,Gift,8/25/2016,"Thomas, Carolyn R.",Weekly Hospital TV Show,https://umsonmuseum.omeka.net/items/show/733
2023.11,,07/11/2023,"Gift of Carolyn R. Thomas, BSN 1956","A group of twelve young women in casual clothes, along with two women in nursing student uniforms, seated in the basement kitchen at Parsons Hall. Two are seated at a table, backs to the camera; others sit on counters and tables, while one sits in a chair. 5"" x 7"" black and white photographic print with narrow border, identified on verso with location in 1956 yearbook. The kitchen was open 24 hours a day, stocked with bread, eggs, and juice.",0,8: Communication Artifact,0,2023.11.6,"Print, Photographic",Documentary Artifact,Gift,8/25/2016,"Thomas, Carolyn R.",Meeting in the Nurses' Home Kitchen,https://umsonmuseum.omeka.net/items/show/734
2023.11,Kirsten Hammerstrom,07/11/2023,"Gift of Carolyn R. Thomas, BSN 1956","A nursing student kneels to button the shirt of a boy seated on his mother's lap while she listens to a doctor, who is seated at a wooden desk. Student nurses prepared charts and took histories for doctors during their four-month rotations in outpatient clinics at University Hospital. 7"" x 8"" black and white photographic print without a border.",1955,8: Communication Artifact,1956,2023.11.7,"Print, Photographic",Documentary Artifact,Gift,8/25/2016,"Thomas, Carolyn R.",Pediatric Outpatient Clinic,https://umsonmuseum.omeka.net/items/show/735
2023.11,Kirsten Hammerstrom,07/11/2023,"Gift of Carolyn R. Thomas, BSN 1956","Student nurse, attending physician and resident treating a pediatric patient lying on a stretcher in the University Hospital Emergency Room. 8"" x 10"" black and white photographic print.",1955,8: Communication Artifact,1956,2023.11.8,"Print, Photographic",Documentary Artifact,Gift,8/25/2016,"Thomas, Carolyn R.",Patient being treated in Emergency Room at University Hospital,https://umsonmuseum.omeka.net/items/show/736
2023.11,Kirsten Hammerstrom,07/11/2023,"Gift of Carolyn R. Thomas, BSN 1956","Senior nursing student in short-sleeved striped uniform and apron stands while on the phone, discussing a patient chart, while an RN in a white uniform and cap with a black stripe reads a notebook on the desk. 8"" x 10"" black and white photographic print.",1955,8: Communication Artifact,1956,2023.11.9,"Print, Photographic",Documentary Artifact,Gift,8/25/2016,"Thomas, Carolyn R.",Nursing student and nurse at nurses station,https://umsonmuseum.omeka.net/items/show/737
2023.11,Kirsten Hammerstrom,07/11/2023,"Gift of Carolyn R. Thomas, BSN 1956","Groups of three and four people-- nursing students, graduate nurses, physicians, and medical students eating at tables in the University Hospital Cafeteria. Students would give the cashier a number to receive their meal for free. 5"" x10"" black and white photograph trimmed from an 8"" x 10"" print.",1955,8: Communication Artifact,1956,2023.11.10,"Print, Photographic",Documentary Artifact,Gift,8/25/2016,"Thomas, Carolyn R.","Students, nurse, and physicians at cafeteria tables",https://umsonmuseum.omeka.net/items/show/738
2023.11,Kirsten Hammerstrom,07/12/2023,"Gift of Carolyn R. Thomas, BSN 1956","Two young women (one Black, one white) seated at a desk at a Nurses Station, University Hospital. The Black woman at left wears a short-sleeved white uniform and a white cap without a stripe; the white woman at right wears a long-sleeved white uniform and white cap with a black stripe. The nursing staff at University Hospital appears to have been integrated by 1955. Esther McCready, the first Black UMSON graduate, graduated in 1953. 5"" x 7"" black and white photographic print.",1955,8: Communication Artifact,1956,2023.11.11,"Print, Photographic",Documentary Artifact,Gift,8/25/2016,"Thomas, Carolyn R.","Nurses working at a Nurses Station, University Hospital",https://umsonmuseum.omeka.net/items/show/739
2023.11,Kirsten Hammerstrom,07/12/2023,"Gift of Carolyn R. Thomas, BSN 1956","Two junior nursing students stand while they watch a senior nursing student receiving instruction from a graduate nurse at University Hospital. 5"" x 7"" black and white photographic print.",1955,8: Communication Artifact,1956,2023.11.12,"Print, Photographic",Documentary Artifact,Gift,8/25/2016,"Thomas, Carolyn R.","Nursing students with night supervisor, University Hospital",https://umsonmuseum.omeka.net/items/show/740
